"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"14/10/2024";"0000";"20,5";"21,2";"20,3";"77,0";"77,0";"74,0";"16,3";"16,3";"16,2";"930,0";"930,0";"929,2";"2,2";"128,0";"4,3";"";""
"14/10/2024";"0100";"20,0";"20,5";"20,0";"79,0";"79,0";"77,0";"16,2";"16,3";"16,2";"930,5";"930,6";"930,0";"1,7";"112,0";"4,1";"";""
"14/10/2024";"0200";"19,2";"20,0";"19,2";"82,0";"82,0";"79,0";"16,1";"16,3";"16,0";"930,5";"930,6";"930,4";"1,8";"143,0";"3,6";"";""
"14/10/2024";"0300";"18,3";"19,2";"18,3";"85,0";"85,0";"82,0";"15,7";"16,3";"15,7";"930,2";"930,5";"930,2";"1,8";"138,0";"3,2";"";""
"14/10/2024";"0400";"18,5";"19,0";"18,2";"85,0";"87,0";"84,0";"16,0";"16,4";"15,8";"929,9";"930,3";"929,9";"2,2";"125,0";"4,3";"";""
"14/10/2024";"0500";"18,5";"19,0";"18,4";"86,0";"86,0";"84,0";"16,1";"16,3";"16,0";"929,4";"929,9";"929,4";"2,6";"173,0";"6,2";"";""
"14/10/2024";"0600";"18,2";"18,5";"18,1";"87,0";"88,0";"86,0";"15,9";"16,1";"15,8";"929,1";"929,4";"929,1";"2,1";"186,0";"5,6";"";""
"14/10/2024";"0700";"18,1";"18,4";"17,9";"85,0";"86,0";"85,0";"15,6";"15,9";"15,5";"929,1";"929,1";"929,0";"2,3";"178,0";"5,1";"";""
"14/10/2024";"0800";"18,0";"18,3";"17,9";"85,0";"86,0";"85,0";"15,5";"15,7";"15,4";"929,2";"929,2";"929,0";"1,9";"170,0";"5,6";"";""
"14/10/2024";"0900";"17,9";"18,1";"17,8";"86,0";"86,0";"85,0";"15,6";"15,6";"15,4";"929,6";"929,6";"929,2";"1,9";"158,0";"5,6";"16,80";""
"14/10/2024";"1000";"19,8";"19,8";"17,7";"81,0";"87,0";"81,0";"16,5";"16,7";"15,2";"930,1";"930,1";"929,6";"1,9";"135,0";"3,8";"598,80";""
"14/10/2024";"1100";"21,3";"21,7";"19,8";"71,0";"81,0";"71,0";"15,8";"16,7";"15,7";"930,4";"930,4";"930,1";"3,2";"102,0";"5,5";"1748,80";""
"14/10/2024";"1200";"20,9";"21,8";"20,5";"73,0";"75,0";"70,0";"15,9";"16,4";"15,6";"930,6";"930,6";"930,4";"2,3";"117,0";"5,5";"1670,00";""
"14/10/2024";"1300";"23,9";"24,2";"20,9";"62,0";"73,0";"62,0";"16,0";"17,1";"15,5";"930,5";"930,6";"930,5";"1,7";"125,0";"5,0";"2230,30";""
"14/10/2024";"1400";"23,4";"24,6";"22,6";"61,0";"65,0";"59,0";"15,5";"16,8";"15,4";"930,1";"930,5";"930,1";"3,5";"147,0";"7,0";"2167,50";""
"14/10/2024";"1500";"24,6";"25,2";"23,2";"57,0";"63,0";"57,0";"15,6";"16,6";"15,4";"929,4";"930,1";"929,4";"3,0";"196,0";"7,0";"2296,20";""
"14/10/2024";"1600";"26,6";"27,1";"24,2";"47,0";"58,0";"46,0";"14,3";"15,9";"13,8";"928,2";"929,4";"928,2";"3,9";"96,0";"7,7";"4179,70";""
"14/10/2024";"1700";"26,8";"27,8";"25,3";"46,0";"51,0";"45,0";"14,3";"15,2";"13,6";"926,9";"928,2";"926,9";"5,6";"104,0";"9,1";"3828,80";""
"14/10/2024";"1800";"26,3";"27,6";"25,5";"45,0";"50,0";"43,0";"13,4";"14,7";"13,2";"926,2";"926,9";"926,2";"4,0";"103,0";"9,2";"2384,40";""
"14/10/2024";"1900";"25,2";"26,3";"25,2";"52,0";"52,0";"45,0";"14,6";"14,9";"13,3";"925,9";"926,2";"925,9";"5,5";"123,0";"8,1";"1073,70";""
"14/10/2024";"2000";"24,8";"25,2";"24,8";"52,0";"53,0";"51,0";"14,3";"14,8";"14,2";"926,1";"926,1";"925,9";"2,9";"143,0";"8,9";"615,90";""
"14/10/2024";"2100";"23,1";"24,8";"23,1";"58,0";"58,0";"52,0";"14,3";"15,0";"14,3";"926,5";"926,5";"926,1";"2,9";"114,0";"7,8";"393,40";""
"14/10/2024";"2200";"21,9";"23,1";"21,8";"59,0";"60,0";"58,0";"13,6";"14,4";"13,6";"927,2";"927,2";"926,5";"3,1";"175,0";"5,6";"7,10";""
"14/10/2024";"2300";"20,8";"22,0";"20,8";"63,0";"63,0";"59,0";"13,6";"13,7";"13,5";"927,5";"927,5";"927,2";"3,1";"183,0";"6,6";"";""
"15/10/2024";"0000";"19,6";"20,9";"19,6";"70,0";"70,0";"63,0";"14,1";"14,1";"13,6";"928,1";"928,1";"927,5";"4,0";"194,0";"7,6";"";""
"15/10/2024";"0100";"18,3";"19,6";"18,3";"77,0";"77,0";"70,0";"14,1";"14,2";"13,9";"928,6";"928,6";"928,1";"2,4";"141,0";"7,1";"";""
"15/10/2024";"0200";"17,5";"18,3";"17,5";"79,0";"79,0";"77,0";"13,7";"14,2";"13,7";"929,0";"929,0";"928,6";"3,0";"178,0";"6,7";"";""
"15/10/2024";"0300";"17,0";"17,5";"16,9";"78,0";"79,0";"78,0";"13,1";"13,7";"13,1";"928,8";"929,0";"928,8";"3,3";"177,0";"6,9";"";""
"15/10/2024";"0400";"16,6";"17,0";"16,5";"78,0";"79,0";"77,0";"12,7";"13,1";"12,7";"928,5";"928,9";"928,5";"3,2";"176,0";"6,7";"";""
"15/10/2024";"0500";"16,2";"16,5";"16,1";"79,0";"79,0";"78,0";"12,5";"12,6";"12,5";"927,8";"928,5";"927,8";"2,2";"168,0";"7,3";"";""
"15/10/2024";"0600";"15,8";"16,2";"15,8";"79,0";"79,0";"78,0";"12,2";"12,5";"12,1";"927,3";"927,8";"927,3";"2,3";"174,0";"6,0";"";""
"15/10/2024";"0700";"15,3";"15,9";"15,3";"81,0";"81,0";"79,0";"12,1";"12,2";"12,0";"927,1";"927,3";"927,1";"1,1";"161,0";"5,4";"";""
"15/10/2024";"0800";"15,5";"15,5";"15,2";"82,0";"82,0";"81,0";"12,3";"12,4";"12,0";"927,1";"927,2";"927,0";"1,5";"163,0";"3,7";"";""
"15/10/2024";"0900";"15,3";"15,5";"15,2";"84,0";"84,0";"82,0";"12,6";"12,6";"12,2";"927,4";"927,5";"927,1";"1,5";"120,0";"3,2";"10,90";""
"15/10/2024";"1000";"16,4";"16,4";"15,3";"79,0";"84,0";"79,0";"12,8";"13,0";"12,5";"927,7";"927,7";"927,4";"1,0";"130,0";"3,4";"316,70";""
"15/10/2024";"1100";"17,9";"18,1";"16,4";"72,0";"80,0";"71,0";"12,7";"13,4";"12,4";"928,0";"928,0";"927,7";"3,8";"110,0";"5,8";"985,90";""
"15/10/2024";"1200";"19,7";"19,7";"17,8";"68,0";"72,0";"66,0";"13,5";"13,6";"12,6";"927,9";"928,1";"927,9";"4,2";"131,0";"6,8";"2009,00";""
"15/10/2024";"1300";"20,9";"22,3";"19,4";"60,0";"68,0";"58,0";"12,9";"14,3";"12,8";"927,7";"928,0";"927,6";"2,8";"85,0";"7,3";"2770,80";""
"15/10/2024";"1400";"21,5";"21,8";"20,5";"58,0";"62,0";"58,0";"12,9";"13,6";"12,5";"927,2";"927,7";"927,2";"3,9";"104,0";"6,6";"2301,40";""
"15/10/2024";"1500";"22,7";"24,2";"21,2";"53,0";"60,0";"50,0";"12,7";"13,8";"12,1";"926,5";"927,3";"926,5";"3,8";"129,0";"8,7";"3882,70";""
"15/10/2024";"1600";"22,7";"23,6";"22,6";"53,0";"54,0";"50,0";"12,6";"13,1";"12,0";"925,5";"926,5";"925,5";"4,5";"88,0";"7,2";"2171,80";""
"15/10/2024";"1700";"23,3";"23,4";"22,6";"52,0";"53,0";"51,0";"12,8";"13,0";"12,3";"924,7";"925,5";"924,7";"1,3";"144,0";"7,2";"1133,50";""
"15/10/2024";"1800";"23,9";"24,0";"22,9";"50,0";"53,0";"49,0";"12,8";"13,4";"12,3";"923,9";"924,7";"923,9";"1,7";"45,0";"4,4";"1740,00";""
"15/10/2024";"1900";"23,6";"24,8";"23,3";"50,0";"52,0";"47,0";"12,7";"13,1";"12,2";"923,6";"923,9";"923,6";"2,7";"45,0";"6,5";"1914,80";""
"15/10/2024";"2000";"23,0";"24,1";"23,0";"53,0";"54,0";"50,0";"12,8";"13,2";"12,5";"923,8";"923,8";"923,6";"2,8";"74,0";"5,5";"905,20";""
"15/10/2024";"2100";"22,0";"23,0";"22,0";"56,0";"56,0";"53,0";"12,9";"13,1";"12,8";"924,0";"924,1";"923,8";"3,4";"97,0";"4,7";"276,00";""
"15/10/2024";"2200";"20,8";"22,0";"20,8";"61,0";"61,0";"56,0";"13,0";"13,1";"12,8";"924,5";"924,5";"924,0";"1,5";"48,0";"5,0";"4,60";""
"15/10/2024";"2300";"19,9";"21,0";"19,9";"64,0";"64,0";"60,0";"12,9";"13,1";"12,8";"924,8";"924,8";"924,5";"2,1";"80,0";"3,2";"";""
"16/10/2024";"0000";"18,8";"20,1";"18,8";"69,0";"69,0";"63,0";"12,9";"13,6";"12,8";"925,4";"925,4";"924,8";"1,0";"113,0";"3,2";"";""
"16/10/2024";"0100";"17,8";"18,8";"17,8";"75,0";"77,0";"69,0";"13,4";"13,8";"13,0";"925,4";"925,5";"925,4";"0,2";"184,0";"1,8";"";""
"16/10/2024";"0200";"17,3";"17,8";"17,0";"78,0";"79,0";"75,0";"13,4";"13,7";"13,1";"924,9";"925,4";"924,9";"0,3";"74,0";"1,5";"";""
"16/10/2024";"0300";"17,4";"17,5";"16,8";"77,0";"79,0";"76,0";"13,3";"13,5";"12,8";"924,4";"924,9";"924,3";"1,0";"295,0";"3,4";"";""
"16/10/2024";"0400";"17,5";"17,8";"16,8";"77,0";"78,0";"75,0";"13,3";"13,6";"12,8";"924,1";"924,5";"924,1";"0,3";"4,0";"2,2";"";""
"16/10/2024";"0500";"16,5";"17,7";"16,2";"82,0";"82,0";"76,0";"13,5";"13,5";"12,9";"923,6";"924,1";"923,6";"0,8";"56,0";"1,7";"";""
"16/10/2024";"0600";"16,1";"16,7";"15,7";"84,0";"85,0";"81,0";"13,4";"13,6";"12,9";"923,2";"923,6";"923,1";"0,8";"72,0";"2,0";"";""
"16/10/2024";"0700";"15,6";"16,5";"15,6";"85,0";"85,0";"83,0";"13,0";"13,7";"12,9";"923,0";"923,2";"922,8";"0,0";"346,0";"2,0";"";""
"16/10/2024";"0800";"15,7";"15,9";"15,2";"88,0";"88,0";"85,0";"13,6";"13,6";"13,0";"923,0";"923,0";"922,8";"0,1";"68,0";"1,3";"";""
"16/10/2024";"0900";"15,8";"15,9";"15,5";"88,0";"88,0";"87,0";"13,8";"13,8";"13,4";"923,2";"923,3";"922,9";"2,4";"94,0";"5,2";"1,50";""
"16/10/2024";"1000";"16,4";"16,4";"15,7";"88,0";"88,0";"88,0";"14,4";"14,4";"13,7";"923,8";"923,8";"923,2";"2,3";"83,0";"4,7";"218,40";""
"16/10/2024";"1100";"19,0";"19,0";"16,4";"79,0";"88,0";"79,0";"15,4";"15,4";"14,4";"924,2";"924,3";"923,8";"0,5";"89,0";"3,8";"1053,70";""
"16/10/2024";"1200";"20,5";"21,4";"19,0";"69,0";"79,0";"66,0";"14,6";"15,8";"13,9";"924,4";"924,5";"924,2";"1,7";"87,0";"3,6";"2331,20";""
