Data,NDVI,ano
2000-02-18,0.4925,2000
2000-03-05,0.7898,2000
2000-03-21,0.8125,2000
2000-04-06,0.7585,2000
2000-04-22,0.7437,2000
2000-05-08,0.6611,2000
2000-05-24,0.6638,2000
2000-06-09,0.7104,2000
2000-06-25,0.7173,2000
2000-07-11,0.7113,2000
2000-07-27,0.7004,2000
2000-08-12,0.651,2000
2000-08-28,0.2846,2000
2000-09-13,0.5813,2000
2000-09-29,0.5909,2000
2000-10-15,0.6412,2000
2000-10-31,0.5855,2000
2000-11-16,0.7234,2000
2000-12-02,0.4066,2000
2000-12-18,0.4664,2000
2001-01-01,0.9138,2001
2001-01-17,0.7643,2001
2001-02-02,0.7388,2001
2001-02-18,0.8053,2001
2001-03-06,0.7827,2001
2001-03-22,0.7293,2001
2001-04-07,0.7675,2001
2001-04-23,0.8158,2001
2001-05-09,0.8061,2001
2001-05-25,0.8317,2001
2001-06-10,0.8058,2001
2001-06-26,0.7911,2001
2001-07-12,0.8092,2001
2001-07-28,0.7843,2001
2001-08-13,0.679,2001
2001-08-29,0.6258,2001
2001-09-14,0.6142,2001
2001-09-30,0.6955,2001
2001-10-16,0.6875,2001
2001-11-01,0.805,2001
2001-11-17,0.8251,2001
2001-12-03,0.8042,2001
2001-12-19,0.2701,2001
2002-01-01,0.9446,2002
2002-01-17,0.8287,2002
2002-02-02,0.4952,2002
2002-02-18,0.4488,2002
2002-03-06,0.4218,2002
2002-03-22,0.7239,2002
2002-04-07,0.8298,2002
2002-04-23,0.7878,2002
2002-05-09,0.7935,2002
2002-05-25,0.8326,2002
2002-06-10,0.792,2002
2002-06-26,0.7337,2002
2002-07-12,0.7807,2002
2002-07-28,0.6639,2002
2002-08-13,0.5968,2002
2002-08-29,0.5881,2002
2002-09-14,0.6263,2002
2002-09-30,0.634,2002
2002-10-16,0.6456,2002
2002-11-01,0.7188,2002
2002-11-17,0.7282,2002
2002-12-03,0.6933,2002
2002-12-19,0.8782,2002
2003-01-01,0.3553,2003
2003-01-17,0.8513,2003
2003-02-02,0.7609,2003
2003-02-18,0.7535,2003
2003-03-06,0.749,2003
2003-03-22,0.8648,2003
2003-04-07,0.4779,2003
2003-04-23,0.8406,2003
2003-05-09,0.7675,2003
2003-05-25,0.768,2003
2003-06-10,0.7753,2003
2003-06-26,0.7252,2003
2003-07-12,0.7466,2003
2003-07-28,0.7019,2003
2003-08-13,0.6351,2003
2003-08-29,0.4416,2003
2003-09-14,0.6213,2003
2003-09-30,0.5735,2003
2003-10-16,0.5734,2003
2003-11-01,0.6726,2003
2003-11-17,0.2723,2003
2003-12-03,0.802,2003
2003-12-19,0.5946,2003
2004-01-01,0.6942,2004
2004-01-17,0.8036,2004
2004-02-02,0.2043,2004
2004-02-18,0.8693,2004
2004-03-05,0.546,2004
2004-03-21,0.8528,2004
2004-04-06,0.568,2004
2004-04-22,0.8709,2004
2004-05-08,0.2706,2004
2004-05-24,0.8579,2004
2004-06-09,0.8435,2004
2004-06-25,0.8437,2004
2004-07-11,0.789,2004
2004-07-27,0.7844,2004
2004-08-12,0.7386,2004
2004-08-28,0.6518,2004
2004-09-13,0.5836,2004
2004-09-29,0.6542,2004
2004-10-15,0.6266,2004
2004-10-31,0.6419,2004
2004-11-16,0.298,2004
2004-12-02,0.7212,2004
2004-12-18,0.3633,2004
2005-01-01,0.7386,2005
2005-01-17,0.6997,2005
2005-02-02,0.8251,2005
2005-02-18,0.8138,2005
2005-03-06,-0.3,2005
2005-03-22,0.7466,2005
2005-04-07,0.7982,2005
2005-04-23,0.8538,2005
2005-05-09,0.8113,2005
2005-05-25,0.8353,2005
2005-06-10,0.821,2005
2005-06-26,0.8476,2005
2005-07-12,0.7611,2005
2005-07-28,0.8248,2005
2005-08-13,0.7233,2005
2005-08-29,-0.3,2005
2005-09-14,0.4426,2005
2005-09-30,0.7437,2005
2005-10-16,0.6685,2005
2005-11-01,0.8658,2005
2005-11-17,0.2606,2005
2005-12-03,0.1431,2005
2005-12-19,0.7972,2005
2006-01-01,0.7188,2006
2006-01-17,0.7513,2006
2006-02-02,0.7866,2006
2006-02-18,0.3147,2006
2006-03-06,0.7156,2006
2006-03-22,0.7603,2006
2006-04-07,0.8763,2006
2006-04-23,0.8615,2006
2006-05-09,0.842,2006
2006-05-25,0.8362,2006
2006-06-10,0.8085,2006
2006-06-26,0.7982,2006
2006-07-12,0.7749,2006
2006-07-28,0.7086,2006
2006-08-13,0.7744,2006
2006-08-29,0.7331,2006
2006-09-14,0.7265,2006
2006-09-30,0.7105,2006
2006-10-16,0.2085,2006
2006-11-01,0.3651,2006
2006-11-17,0.8026,2006
2006-12-03,0.7539,2006
2006-12-19,0.8026,2006
2007-01-01,0.0794,2007
2007-01-17,0.7435,2007
2007-02-02,0.7684,2007
2007-02-18,0.8896,2007
2007-03-06,0.7864,2007
2007-03-22,0.8388,2007
2007-04-07,0.8507,2007
2007-04-23,0.8164,2007
2007-05-09,0.7952,2007
2007-05-25,0.8022,2007
2007-06-10,0.7821,2007
2007-06-26,0.803,2007
2007-07-12,0.7842,2007
2007-07-28,0.7981,2007
2007-08-13,0.7297,2007
2007-08-29,0.7047,2007
2007-09-14,0.6695,2007
2007-09-30,0.6584,2007
2007-10-16,0.6181,2007
2007-11-01,0.6703,2007
2007-11-17,0.1862,2007
2007-12-03,0.848,2007
2007-12-19,0.1579,2007
2008-01-01,0.1579,2008
2008-01-17,0.644,2008
2008-02-02,0.8618,2008
2008-02-18,0.7824,2008
2008-03-05,0.7999,2008
2008-03-21,0.7759,2008
2008-04-06,0.5672,2008
2008-04-22,0.6696,2008
